Symbol  frequency
  e,     8.99749373433584%
  t,     6.516290726817042%
  s,     6.4411027568922306%
  a,     6.340852130325815%
  o,     5.7894736842105265%
  i,     5.5889724310776945%
  r,     5.18796992481203%
  n,     5.06265664160401%
  h,     4.235588972431078%
  d,     3.308270676691729%
  l,     3.132832080200501%
  u,     2.180451127819549%
  c,     1.954887218045113%
  f,     1.7042606516290728%
  y,     1.5037593984962405%
  m,     1.4536340852130327%
  g,     1.3784461152882206%
  w,     1.2781954887218046%
  p,     1.1278195488721803%
  v,     1.0025062656641603%
  b,     0.8020050125313283%
  I,     0.4761904761904762%
  T,     0.4511278195488722%
  k,     0.4260651629072682%
  A,     0.37593984962406013%
  P,     0.30075187969924816%
  S,     0.30075187969924816%
  E,     0.2756892230576441%
  G,     0.2506265664160401%
  O,     0.2255639097744361%
  L,     0.2255639097744361%
  z,     0.20050125313283207%
  5,     0.17543859649122806%
  U,     0.17543859649122806%
  1,     0.17543859649122806%
  R,     0.15037593984962408%
  M,     0.15037593984962408%
  B,     0.15037593984962408%
  0,     0.15037593984962408%
  N,     0.12531328320802004%
  F,     0.12531328320802004%
  J,     0.10025062656641603%
  D,     0.10025062656641603%
  2,     0.10025062656641603%
  H,     0.10025062656641603%
  V,     0.07518796992481204%
  C,     0.07518796992481204%
  6,     0.07518796992481204%
  Y,     0.07518796992481204%
  j,     0.05012531328320802%
  W,     0.05012531328320802%
  x,     0.05012531328320802%
  K,     0.05012531328320802%
  7,     0.02506265664160401%
  q,     0.02506265664160401%
Symbol Huffman Codes
  e,    010
  t,    1111
  s,    1110
  a,    1101
  o,    1011
  i,    1010
  r,    1000
  n,    0111
  h,    0011
  d,    0000
  l,    11001
  u,    01100
  c,    00101
  f,    00010
  y,    110000
  m,    100111
  g,    100110
  w,    100100
  p,    011010
  v,    001001
  b,    1100011
  I,    0010000
  T,    0001110
  k,    0001101
  A,    11000100
  P,    10010100
  S,    10010101
  E,    01101100
  G,    00100011
  O,    00011111
  L,    00100010
  z,    00011000
  5,    100101111
  U,    100101101
  1,    100101110
  R,    011011101
  M,    011011110
  B,    011011111
  0,    011011100
  N,    000111101
  F,    011011010
  J,    000110010
  D,    1100010101
  2,    1100010110
  H,    1100010111
  V,    1001011001
  C,    0110110111
  6,    0110110110
  Y,    1001011000
  j,    0001100110
  W,    11000101001
  x,    0001100111
  K,    0001111000
  7,    11000101000
  q,    00011110010
The total bits: 14633
