Symbol  frequency
  e,     8.997%
  t,     6.516%
  s,     6.441%
  a,     6.341%
  o,     5.789%
  i,     5.589%
  r,     5.188%
  n,     5.063%
  h,     4.236%
  d,     3.308%
  l,     3.133%
  u,     2.180%
  c,     1.955%
  f,     1.704%
  y,     1.504%
  m,     1.454%
  g,     1.378%
  w,     1.278%
  p,     1.128%
  v,     1.003%
  b,     0.802%
  I,     0.476%
  T,     0.451%
  k,     0.426%
  A,     0.376%
  P,     0.301%
  S,     0.301%
  E,     0.276%
  G,     0.251%
  O,     0.226%
  L,     0.226%
  z,     0.201%
  5,     0.175%
  U,     0.175%
  1,     0.175%
  R,     0.150%
  M,     0.150%
  B,     0.150%
  0,     0.150%
  N,     0.125%
  F,     0.125%
  J,     0.100%
  D,     0.100%
  2,     0.100%
  H,     0.100%
  V,     0.075%
  C,     0.075%
  6,     0.075%
  Y,     0.075%
  j,     0.050%
  W,     0.050%
  x,     0.050%
  K,     0.050%
  7,     0.025%
  q,     0.025%
Symbol Huffman Codes
  e,    010
  t,    1111
  s,    1110
  a,    1101
  o,    1011
  i,    1010
  r,    1000
  n,    0111
  h,    0011
  d,    0000
  l,    11001
  u,    01100
  c,    00101
  f,    00010
  y,    110000
  m,    100111
  g,    100110
  w,    100100
  p,    011010
  v,    001001
  b,    1100011
  I,    0010000
  T,    0001110
  k,    0001101
  A,    11000100
  P,    10010100
  S,    10010101
  E,    01101100
  G,    00100011
  O,    00011111
  L,    00100010
  z,    00011000
  5,    100101111
  U,    100101101
  1,    100101110
  R,    011011101
  M,    011011110
  B,    011011111
  0,    011011100
  N,    000111101
  F,    011011010
  J,    000110010
  D,    1100010101
  2,    1100010110
  H,    1100010111
  V,    1001011001
  C,    0110110111
  6,    0110110110
  Y,    1001011000
  j,    0001100110
  W,    11000101001
  x,    0001100111
  K,    0001111000
  7,    11000101000
  q,    00011110010
The total bits: 14633
